row_id,column,entity_label,entity_text,confidence,start,end
150,symptom_free_text,state,NC,0.9959971904754639,87,89
150,symptom_free_text,postcode,45740,0.9927565455436707,90,95
152,symptom_free_text,time,5,0.5665790438652039,36,37
153,additional_comments,phone_number,+1-584-437-3817x18146,0.881726086139679,54,75
154,symptom_free_text,time,5,0.5935282707214355,36,37
154,symptom_free_text,time,5,0.5017749071121216,38,39
155,symptom_free_text,time,3am,0.9223775863647461,46,49
160,symptom_free_text,time,4,0.6040327548980713,36,37
161,symptom_free_text,time,3am,0.9223775863647461,46,49
162,symptom_free_text,time,3am,0.9223775863647461,46,49
163,symptom_free_text,email,alvaradomisty@example.com,0.9981371164321899,75,100
168,symptom_free_text,time,6,0.5837823748588562,36,37
170,symptom_free_text,time,8,0.6057285666465759,36,37
174,symptom_free_text,time,3am,0.9223775863647461,46,49
175,symptom_free_text,time,3am,0.9223775863647461,46,49
181,symptom_free_text,time,3am,0.9223775863647461,46,49
183,symptom_free_text,time,3am,0.9223775863647461,46,49
184,symptom_free_text,time,3am,0.9223775863647461,46,49
187,symptom_free_text,time,3am,0.9223775863647461,46,49
189,symptom_free_text,time,3am,0.9223775863647461,46,49
191,symptom_free_text,time,3am,0.9223775863647461,46,49
195,additional_comments,phone_number,(933)220-4508x004,0.8103650212287903,86,103
196,symptom_free_text,time,3am,0.9223775863647461,46,49
201,symptom_free_text,time,3am,0.9223775863647461,46,49
202,symptom_free_text,time,5,0.5945664644241333,36,37
204,symptom_free_text,time,3am,0.9223775863647461,46,49
207,symptom_free_text,time,8,0.5955037474632263,36,37
210,symptom_free_text,time,3am,0.9223775863647461,46,49
214,symptom_free_text,time,8,0.6057285666465759,36,37
216,symptom_free_text,time,7,0.7030501961708069,36,37
216,symptom_free_text,time,5 hours,0.5295408368110657,38,45
217,symptom_free_text,time,3am,0.9223775863647461,46,49
219,symptom_free_text,time,3am,0.9223775863647461,46,49
221,symptom_free_text,time,3am,0.9223775863647461,46,49
222,symptom_free_text,time,3am,0.9223775863647461,46,49
233,symptom_free_text,time,6,0.5709992051124573,36,37
234,symptom_free_text,phone_number,(646)994-4318,0.8854725360870361,74,87
235,additional_comments,first_name,Alex,0.997568666934967,46,50
235,additional_comments,last_name,Arnold,0.996109664440155,51,57
236,symptom_free_text,first_name,Samuel,0.998150646686554,73,79
236,symptom_free_text,last_name,Schwartz,0.9969955682754517,80,88
238,symptom_free_text,time,3am,0.9223775863647461,46,49
240,symptom_free_text,time,8,0.6057285666465759,36,37
250,symptom_free_text,time,5,0.5665790438652039,36,37
255,symptom_free_text,time,3am,0.9223775863647461,46,49
256,symptom_free_text,time,3am,0.9223775863647461,46,49
256,additional_comments,street_address,8515 Rogers Run Apt. 165,0.9964959621429443,44,68
256,additional_comments,city,South James,0.9901186227798462,70,81
256,additional_comments,state,LA,0.9966712594032288,83,85
256,additional_comments,postcode,45652,0.995377779006958,86,91
259,symptom_free_text,time,7,0.6820694208145142,36,37
260,symptom_free_text,coordinate,524.497.9583x698,0.6947188973426819,74,90
261,symptom_free_text,time,7,0.7133293151855469,36,37
261,symptom_free_text,time,3 hours,0.5611485242843628,38,45
261,symptom_free_text,email,kellynelson@example.net,0.9969569444656372,66,89
265,symptom_free_text,time,5,0.6552754044532776,36,37
265,symptom_free_text,time,2 hours,0.5453728437423706,38,45
267,symptom_free_text,email,michaeljenkins@example.org,0.9968146085739136,72,98
278,symptom_free_text,time,6,0.5668604969978333,36,37
281,symptom_free_text,time,3am,0.9223775863647461,46,49
284,symptom_free_text,time,3am,0.9223775863647461,46,49
286,additional_comments,first_name,Robert,0.9977388381958008,78,84
286,additional_comments,last_name,Leonard,0.9894363880157471,85,92
293,symptom_free_text,time,3am,0.9223775863647461,46,49
295,symptom_free_text,time,3am,0.9223775863647461,46,49
299,symptom_free_text,time,5,0.5074523687362671,36,37
299,symptom_free_text,street_address,484 Smith Junctions,0.9981301426887512,57,76
299,symptom_free_text,city,South Warren,0.984242856502533,78,90
299,symptom_free_text,state,VI,0.9597818851470947,92,94
299,symptom_free_text,postcode,04648,0.9902087450027466,95,100
